"id","platform","company_id","company_code","company_name","symbol"
"94f5840b-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22e9-9d83-11ee-8ba2-c75ffde41a09","NKE.N","耐克Nike",
"94f5840c-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22ea-9d83-11ee-8ba2-c75ffde41a09","TSLA.O","特斯拉 Tesla",
"94f5840d-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22eb-9d83-11ee-8ba2-c75ffde41a09","1211.HK","比亚迪",
"94f5840e-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22ec-9d83-11ee-8ba2-c75ffde41a09","A17U.SI","Mapletree Pan Asia Commercial Trust",
"94f5840f-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22ed-9d83-11ee-8ba2-c75ffde41a09","AI.O","C3.ai",
"94f58410-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22ee-9d83-11ee-8ba2-c75ffde41a09","XPEV.N","小鹏汽车",
"94f58411-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22ef-9d83-11ee-8ba2-c75ffde41a09","FCX.N","Freeport-McMoRan",
"94f58412-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f0-9d83-11ee-8ba2-c75ffde41a09","MGM.N","MGM International",
"94f58413-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f1-9d83-11ee-8ba2-c75ffde41a09","LI.O","理想汽车",
"94f58414-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f2-9d83-11ee-8ba2-c75ffde41a09","0883.HK","中国海洋石油",
"94f58415-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f3-9d83-11ee-8ba2-c75ffde41a09","CRM.N","Salesforce",
"94f58416-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f4-9d83-11ee-8ba2-c75ffde41a09","WMT.N","Walmart",
"94f58417-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f5-9d83-11ee-8ba2-c75ffde41a09","2020.HK","安踏体育",
"94f58418-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f6-9d83-11ee-8ba2-c75ffde41a09","JPM.N","JP Morgan",
"94f58419-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f7-9d83-11ee-8ba2-c75ffde41a09","FUTU.O","富途",
"94f5841a-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f8-9d83-11ee-8ba2-c75ffde41a09","ABNB.O","AirBnb",
"94f5841b-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22f9-9d83-11ee-8ba2-c75ffde41a09","2331.HK","李宁",
"94f5841c-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22fa-9d83-11ee-8ba2-c75ffde41a09","BILI.O","哔哩哔哩",
"94f5841d-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22fb-9d83-11ee-8ba2-c75ffde41a09","BIDU.O","百度",
"94f5841e-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22fc-9d83-11ee-8ba2-c75ffde41a09","AMD.O","AMD",
"94f5841f-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22fd-9d83-11ee-8ba2-c75ffde41a09","2899.HK","紫金矿业",
"94f58420-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22fe-9d83-11ee-8ba2-c75ffde41a09","PDD.O","拼多多",
