3706,TSLA,Tesla,Tesla Inc,US,https://web.quartr.com/companies/3706
4248,BA,The Boeing Company,The Boeing Company,US,https://web.quartr.com/companies/4248
4734,V,Visa,Visa Inc,US,https://web.quartr.com/companies/4734
10106,WMT,Walmart,Walmart Inc,US,https://web.quartr.com/companies/10106
5190,DIS,Walt Disney Company,The Walt Disney Company,US,https://web.quartr.com/companies/5190
5592,WFC,Wells Fargo & Company,Wells Fargo & Company,US,https://web.quartr.com/companies/5592
15352,1810,Xiaomi,Xiaomi Corporation,HK,https://web.quartr.com/companies/15352
3714,XPEV,XPeng,XPeng Inc,US,https://web.quartr.com/companies/3714
15911,1458,Zhou Hei Ya International Holdings Company Limited,Zhou Hei Ya International Holdings Company Limited,HK,https://web.quartr.com/companies/15911
16734,2899,Zijin Mining Group,Zijin Mining Group Company,CN,https://web.quartr.com/companies/16734
3489,ZS,Zscaler,Zscaler Inc,US,https://web.quartr.com/companies/3489
