"ffd08bd3-e4f2-11ee-b30e-3774e444eabf","伯克希尔-B","Berkshire B",\N,"2024-03-18 14:44:44",\N,\N,\N,\N,\N
"ffd08b62-e4f2-11ee-b30e-3774e444eabf","BEYOND MEAT","BEYOND MEAT",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"cddf22fa-9d83-11ee-8ba2-c75ffde41a09","哔哩哔哩","Bilibili Inc.",\N,\N,\N,\N,\N,\N,\N
"ffd08b63-e4f2-11ee-b30e-3774e444eabf","BIONTECH SE-ADR","BIONTECH SE ADR",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ffd08bc6-e4f2-11ee-b30e-3774e444eabf","BlackRock","BlackRock",\N,"2024-03-18 14:44:44",\N,\N,\N,\N,\N
"ffd08bbb-e4f2-11ee-b30e-3774e444eabf","黑石Blackstone","Blackstone",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"cddf22cc-9d83-11ee-8ba2-c75ffde41a09","Block","Block Inc.",\N,\N,\N,\N,\N,\N,\N
"ff1f419e-e4f2-11ee-b30e-3774e444eabf","BLUE MOON GROUP HOLDINGS LTD","BLUE MOON GROUP HOLDINGS LTD",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f4176-e4f2-11ee-b30e-3774e444eabf","巴黎银行集团","BNP Paribas Group",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"cddf2300-9d83-11ee-8ba2-c75ffde41a09","Boeing","Boeing Co.",\N,\N,\N,\N,\N,\N,\N
"ffd08b7a-e4f2-11ee-b30e-3774e444eabf","Broadcom","Broadcom",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"cddf22eb-9d83-11ee-8ba2-c75ffde41a09","比亚迪","BYD Co.",\N,\N,\N,\N,\N,\N,\N
"cddf22ed-9d83-11ee-8ba2-c75ffde41a09","C3.ai","C3AI",\N,\N,\N,\N,\N,\N,\N
"ffd08b64-e4f2-11ee-b30e-3774e444eabf","CAESARS ENTERTAINMENT INC","CAESARS ENTERTAINMENT INC",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ff1f4193-e4f2-11ee-b30e-3774e444eabf","CANSINO BIOLOGICS INC-H","CANSINO BIOLOGICS INC H",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ffd08bd5-e4f2-11ee-b30e-3774e444eabf","Capitaland Ascendas REIT","Capitaland Ascendas REIT",\N,"2024-03-18 14:44:44",\N,\N,\N,\N,\N
"cddf2307-9d83-11ee-8ba2-c75ffde41a09","CapitaLand Integrated Commercial Trust","CapitaLand Integrated Commercial",\N,\N,\N,\N,\N,\N,\N
"cddf22cf-9d83-11ee-8ba2-c75ffde41a09","Carnival","Carnival Corp.",\N,\N,\N,\N,\N,\N,\N
"ffd08b98-e4f2-11ee-b30e-3774e444eabf","CATERPILLAR INC","CATERPILLAR INC",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"ff1f419b-e4f2-11ee-b30e-3774e444eabf","国泰航空CATHAY PACIFIC","CATHAY PACIFIC",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f41be-e4f2-11ee-b30e-3774e444eabf","CCB 建设银行","CCB",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ffd08bce-e4f2-11ee-b30e-3774e444eabf","ChargePoint","ChargePoint",\N,"2024-03-18 14:44:44",\N,\N,\N,\N,\N
"ffd08b99-e4f2-11ee-b30e-3774e444eabf","雪佛兰CHEVRON","CHEVRON",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"ff1f41b6-e4f2-11ee-b30e-3774e444eabf","中国通信服务","China Communications Services",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ff1f41a0-e4f2-11ee-b30e-3774e444eabf","CHINA EVERGRANDE GROUP","CHINA EVERGRANDE GROUP",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ff1f417f-e4f2-11ee-b30e-3774e444eabf","CHINA GAS HOLDINGS LTD","CHINA GAS HOLDINGS LTD",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f41bf-e4f2-11ee-b30e-3774e444eabf","神州集团","China Group",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"cddf2304-9d83-11ee-8ba2-c75ffde41a09","中国宏桥","China Hongqiao Group",\N,\N,\N,\N,\N,\N,\N
"ff1f4187-e4f2-11ee-b30e-3774e444eabf","中国人寿","China Life",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f418c-e4f2-11ee-b30e-3774e444eabf","CHINA LONGYUAN POWER GROUP-H","CHINA LONGYUAN POWER GROUP H",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"cddf22c5-9d83-11ee-8ba2-c75ffde41a09","招商银行","China Merchants Bank",\N,\N,\N,\N,\N,\N,\N
"cddf22ca-9d83-11ee-8ba2-c75ffde41a09","中国移动","China Mobile (HK)",\N,\N,\N,\N,\N,\N,\N
"ff1f419c-e4f2-11ee-b30e-3774e444eabf","中国海外投资","China Overseas Investment",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f41ba-e4f2-11ee-b30e-3774e444eabf","中国太平洋保险","China Pacific Insurance",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"cddf22cb-9d83-11ee-8ba2-c75ffde41a09","中石化","China Petroleum & Chemical",\N,\N,\N,\N,\N,\N,\N
"ff1f4180-e4f2-11ee-b30e-3774e444eabf","CHINA RESOURCES GAS GROUP LT","CHINA RESOURCES GAS GROUP LT",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f419f-e4f2-11ee-b30e-3774e444eabf","CHINA RESOURCES LAND LTD","CHINA RESOURCES LAND LTD",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f419d-e4f2-11ee-b30e-3774e444eabf","CHINA RESOURCES POWER HOLDIN","CHINA RESOURCES POWER HOLDIN",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f4188-e4f2-11ee-b30e-3774e444eabf","中国电信","China Telecom",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f4194-e4f2-11ee-b30e-3774e444eabf","中国联通","China Unicom",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f4190-e4f2-11ee-b30e-3774e444eabf","CHINA VANKE CO LTD-H","CHINA VANKE CO LTD-H",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f4181-e4f2-11ee-b30e-3774e444eabf","CHINA YOUZAN LTD","CHINA YOUZAN LTD",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ff1f418f-e4f2-11ee-b30e-3774e444eabf","CITIC中信证券","CITIC",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ffd08b9a-e4f2-11ee-b30e-3774e444eabf","花旗集团CITIGROUP","CITIGROUP",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"ff1f41a1-e4f2-11ee-b30e-3774e444eabf","CK长江和记实业","CK Hutchison Industrial",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ff1f41a2-e4f2-11ee-b30e-3774e444eabf","CK长江和记置业","CK Hutchison Real Estate",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ffd08bc7-e4f2-11ee-b30e-3774e444eabf","Cloudflare","Cloudflare",\N,"2024-03-18 14:44:44",\N,\N,\N,\N,\N
"ff1f4195-e4f2-11ee-b30e-3774e444eabf","CLP中电控股","CLP China Electronics Holdings",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ffd08b87-e4f2-11ee-b30e-3774e444eabf","CME集团","CME",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"cddf22f2-9d83-11ee-8ba2-c75ffde41a09","中国海洋石油","CNOOC",\N,\N,\N,\N,\N,\N,\N
"ffd08b9b-e4f2-11ee-b30e-3774e444eabf","可口可乐COCACOLA","COCACOLA",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"ffd08b7c-e4f2-11ee-b30e-3774e444eabf","Coinbase","Coinbase",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"ffd08b84-e4f2-11ee-b30e-3774e444eabf","Comcast","Comcast",\N,"2024-03-18 14:44:43",\N,\N,\N,\N,\N
"ffd08bc0-e4f2-11ee-b30e-3774e444eabf","ConocoPhillips","ConocoPhillips",\N,"2024-03-18 14:44:44",\N,\N,\N,\N,\N
"ff1f41c1-e4f2-11ee-b30e-3774e444eabf","COSCO能源运输","COSCO Energy Transport",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
"ff1f4186-e4f2-11ee-b30e-3774e444eabf","COSCO海运","COSCO Shipping",\N,"2024-03-18 14:44:41",\N,\N,\N,\N,\N
"ffd08b5e-e4f2-11ee-b30e-3774e444eabf","Costco Wholesale","Costco Wholesale",\N,"2024-03-18 14:44:42",\N,\N,\N,\N,\N
