RMS.FP,,,,
6060.HK,ff1f4192-e4f2-11ee-b30e-3774e444eabf,ZHONGAN ONLINE PC INSURAN,,not found
6185.HK,ff1f4193-e4f2-11ee-b30e-3774e444eabf,CANSINO BIOLOGICS INC,,not found
0762.HK,ff1f4194-e4f2-11ee-b30e-3774e444eabf,China Unicom,China Unicom,7574d68c-f333-11d5-9c53-cefb9d98b147
0002.HK,ff1f4195-e4f2-11ee-b30e-3774e444eabf,CLP China Electronics Holdings,,not found
0003.HK,ff1f4196-e4f2-11ee-b30e-3774e444eabf,HONG KONG CHINA GAS,Hong Kong & China Gas,c9ca28f2-d481-11d5-8f83-f03a82eb7e91
0006.HK,ff1f4197-e4f2-11ee-b30e-3774e444eabf,Electric Energy Industry,,not found
0011.HK,ff1f4198-e4f2-11ee-b30e-3774e444eabf,HANG SENG,Hang Seng Bank,c1f40954-d481-11d5-8f83-f03a82eb7e91
0027.HK,ff1f4199-e4f2-11ee-b30e-3774e444eabf,Galaxy Entertainment,Galaxy Entertainment Group,8b7ff4e8-c408-11d5-86be-993aaf5c1874
0066.HK,ff1f419a-e4f2-11ee-b30e-3774e444eabf,MTR CORP,MTR Corp.,c27fe910-d481-11d5-8f83-f03a82eb7e91
0293.HK,ff1f419b-e4f2-11ee-b30e-3774e444eabf,CATHAY PACIFIC,Cathay Pacific,c961de5a-d481-11d5-8f83-f03a82eb7e91
0688.HK,ff1f419c-e4f2-11ee-b30e-3774e444eabf,China Overseas Investment,China Overseas Land & Investment,832a62b2-de00-11d5-9be0-f05e055bbe70
0836.HK,ff1f419d-e4f2-11ee-b30e-3774e444eabf,CHINA RESOURCES POWER HOLDIN,,not found
2388.HK,ff1f4184-e4f2-11ee-b30e-3774e444eabf,Bank of China,Postal Savings Bank of China Co.,a0b4a09e-6344-11d6-90c0-bc120ca8583b
6993.HK,ff1f419e-e4f2-11ee-b30e-3774e444eabf,BLUE MOON GROUP HOLDINGS,,not found
1109.HK,ff1f419f-e4f2-11ee-b30e-3774e444eabf,CHINA RESOURCES LAND,China Resources Land,7264e888-f333-11d5-9c53-cefb9d98b147
3333.HK,ff1f41a0-e4f2-11ee-b30e-3774e444eabf,CHINA EVERGRANDE,China Evergrande Group,5b087bea-653a-11d6-8fe9-fcf4041a9e84
0001.HK,ff1f41a1-e4f2-11ee-b30e-3774e444eabf,CK Hutchison Industrial,,not found
1113.HK,ff1f41a2-e4f2-11ee-b30e-3774e444eabf,CK Hutchison Real Estate,,not found
6098.HK,ff1f41a3-e4f2-11ee-b30e-3774e444eabf,COUNTRY GARDEN SERVICES HOLD,,not found
2018.HK,ff1f41a4-e4f2-11ee-b30e-3774e444eabf,AAC TECHNOLOGIES HOLDINGS,,not found
9698.HK,ff1f41a5-e4f2-11ee-b30e-3774e444eabf,GDS HOLDINGS,GDS Holdings,9187a778-6340-11d6-81b0-bf31d6cbaffe
6862.HK,ff1f41a6-e4f2-11ee-b30e-3774e444eabf,Haidilao,Haidilao International Holding,4d4fdbce-62d3-11d6-989f-81405ff728af
6618.HK,ff1f41a7-e4f2-11ee-b30e-3774e444eabf,JD Health,JD Health International,a473a179-fc1e-473e-850e-197cf30f0701
2618.HK,ff1f41a8-e4f2-11ee-b30e-3774e444eabf,JD LOGISTICS,JD Logistics,e35651ff-230d-4820-a8de-7e50e32f6c83
9922.HK,ff1f41a9-e4f2-11ee-b30e-3774e444eabf,JIUMAOJIU INTERNATIONAL,,not found
0960.HK,ff1f41aa-e4f2-11ee-b30e-3774e444eabf,LONGFOR GROUP HOLDINGS,Longfor Group,e1c4c05c-63f6-11d6-8f54-a31132083bf6
0853.HK,ff1f41ab-e4f2-11ee-b30e-3774e444eabf,MICROPORT SCIENTIFIC,,not found
0909.HK,ff1f41ac-e4f2-11ee-b30e-3774e444eabf,MING YUAN CLOUD,Ming Yuan Cloud,ae365850-ab81-46f1-83ed-1db3f726ba6e
9992.HK,ff1f41ad-e4f2-11ee-b30e-3774e444eabf,POP MART INTERNATIONAL,,not found
